dest_city,dest_iata,dest_state
Anchorage International Airport,ANC,AK
Fairbanks International Airport,FAI,AK
Juneau International Airport,JNU,AK
Birmingham International Airport,BHM,AL
Dothan Regional Airport,DHN,AL
Huntsville International Airport,HSV,AL
Mobile,MOB,AL
Montgomery,MGM,AL
Fayetteville,FYV,AR
Little Rock National Airport,LIT,AR
Northwest Arkansas Regional Airport,XNA,AR
Flagstaff,FLG,AZ
Phoenix Phoenix Sky Harbor International Airport,PHX,AZ
Tucson International Airport,TUS,AZ
Yuma International Airport,YUM,AZ
Burbank,BUR,CA
Fresno,FAT,CA
Long Beach,LGB,CA
Los Angeles International Airport,LAX,CA
Oakland,OAK,CA
Ontario,ONT,CA
Palm Springs,PSP,CA
Sacramento,SMF,CA
San Diego,SAN,CA
San Francisco International Airport,SFO,CA
San Jose,SJC,CA
Santa Ana,SNA,CA
Aspen,ASE,CO
Colorado Springs,COS,CO
Denver International Airport,DEN,CO
Grand Junction,GJT,CO
Pueblo,PUB,CO
Hartford,BDL,CT
Tweed New Haven,HVN,CT
Washington Dulles International Airport,IAD,DC
Washington National Airport,DCA,DC
Daytona Beach,DAB,FL
Fort Lauderdale Hollywood International Airport,FLL,FL
Fort Meyers,RSW,FL
Jacksonville,JAX,FL
Key West International Airport,EYW,FL
Miami International Airport,MIA,FL
Orlando,MCO,FL
Panama City Bay County International Airport,PFN,FL
Pensacola,PNS,FL
Sarasota,SRQ,FL
St Petersburg,PIE,FL
Tampa,TPA,FL
West Palm Beach,PBI,FL
Atlanta Hartsfield International Airport,ATL,GA
Augusta,AGS,GA
Savannah,SAV,GA
Hilo,ITO,HI
Honolulu International Airport,HNL,HI
Kahului,OGG,HI
Kailua,KOA,HI
Lihue,LIH,HI
Cedar Rapids,CID,IA
Des Moines,DSM,IA
Boise,BOI,ID
Chicago Midway Airport,MDW,IL
Chicago OHare International Airport Airport,ORD,IL
Moline,MLI,IL
Peoria,PIA,IL
Evansville,EVV,IN
Fort Wayne,FWA,IN
Indianapolis International Airport,IND,IN
South Bend,SBN,IN
Wichita,ICT,KS
Lexington,LEX,KY
Louisville,SDF,KY
Baton Rouge,BTR,LA
New Orleans International Airport,MSY,LA
Shreveport,SHV,LA
Boston Logan International Airport,BOS,MA
Hyannis,HYA,MA
Nantucket,ACK,MA
Worcester,ORH,MA
Baltimore,BWI,MD
Augusta,AUG,ME
Bangor,BGR,ME
Portland,PWM,ME
Battlecreek,BTL,MI
Detroit,DET,MI
Detroit Metropolitan Airport,DTW,MI
Flint,FNT,MI
Grand Rapids,GRR,MI
Kalamazoo Battle Creek International Airport,AZO,MI
Lansing,LAN,MI
Saginaw,MBS,MI
Duluth,DLH,MN
Minneapolis St Paul International Airport,MSP,MN
Rochester,RST,MN
Kansas City,MCI,MO
Springfield,SGF,MO
St Louis Lambert International Airport,STL,MO
Gulfport,GPT,MS
Jackson,JAN,MS
Billings,BIL,MT
Asheville,AVL,NC
Charlotte Douglas International Airport,CLT,NC
Fayetteville,FAY,NC
Greensboro,GSO,NC
Raleigh,RDU,NC
Winston Salem,INT,NC
Bismark,BIS,ND
Fargo,FAR,ND
Lincoln,LNK,NE
Omaha,OMA,NE
Manchester,MHT,NH
Atlantic City International Airport,ACY,NJ
Newark International Airport,EWR,NJ
Trenton,TTN,NJ
Alamogordo,ALM,NM
Albuquerque International Airport,ABQ,NM
Las Vegas McCarran International Airport,LAS,NV
Reno Tahoe International Airport,RNO,NV
Albany International Airport,ALB,NY
Buffalo,BUF,NY
Islip,ISP,NY
New York John F Kennedy International Airport,JFK,NY
New York La Guardia Airport,LGA,NY
Newburgh,SWF,NY
Rochester,ROC,NY
Syracuse,SYR,NY
Westchester,HPN,NY
Akron,CAK,OH
Cincinnati,CVG,OH
Cleveland,CLE,OH
Columbus,CMH,OH
Dayton,DAY,OH
Toledo,TOL,OH
Oklahoma City,OKC,OK
Tulsa,TUL,OK
Eugene,EUG,OR
Portland Hillsboro Airport,HIO,OR
Portland International Airport,PDX,OR
Salem,SLE,OR
Allentown,ABE,PA
Erie,ERI,PA
Harrisburg,MDT,PA
Philadelphia,PHL,PA
Pittsburgh,PIT,PA
Scranton,AVP,PA
Providence TF Green Airport,PVD,RI
Charleston,CHS,SC
Columbia,CAE,SC
Greenville,GSP,SC
Myrtle Beach,MYR,SC
Pierre,PIR,SD
Rapid City,RAP,SD
Sioux Falls,FSD,SD
Bristol,TRI,TN
Chattanooga,CHA,TN
Knoxville,TYS,TN
Memphis,MEM,TN
Nashville,BNA,TN
Amarillo,AMA,TX
Austin Bergstrom International Airport,AUS,TX
Corpus Christi,CRP,TX
Dallas Fort Worth International Airport,DFW,TX
Dallas Love Field Airport,DAL,TX
El Paso,ELP,TX
Houston George Bush Intercontinental Airport,IAH,TX
Houston William B Hobby Airport,HOU,TX
Lubbock,LBB,TX
Midland,MAF,TX
San Antonio International Airport,SAT,TX
Salt Lake City,SLC,UT
Dulles,IAD,VA
Newport News,PHF,VA
Norfolk,ORF,VA
Richmond,RIC,VA
Roanoke,ROA,VA
Burlington,BTV,VT
Montpelier,MPV,VT
Rutland,RUT,VT
Pasco Pasco Tri Cities Airport,PSC,WA
Seattle Tacoma International Airport,SEA,WA
Spokane International Airport,GEG,WA
Green Bay,GRB,WI
Madison,MSN,WI
Milwaukee,MKE,WI
Charleston,CRW,WV
Clarksburg,CKB,WV
Huntington Tri State Airport,HTS,WV
Casper,CPR,WY
Cheyenne,CYS,WY
Jackson Hole,JAC,WY
Rock Springs,RKS,WY
