ctry,st,muni,mdn_h_inc,se
United States,,,57652,138
United States,Alabama,,46472,301
United States,Alabama,Abanda CDP,,
United States,Alabama,Abbeville city,40724,12871
United States,Alabama,Adamsville city,49077,9078
United States,Alabama,Addison town,35250,8924
United States,Alabama,Akron town,19821,8077
United States,Alabama,Alabaster city,74383,4444
United States,Alabama,Albertville city,37619,4048
United States,Alabama,Alexander City city,32337,4621
United States,Alabama,Alexandria CDP,70656,8284
United States,Alabama,Aliceville city,24097,7573
United States,Alabama,Allgood town,40469,14838
United States,Alabama,Altoona town,38438,13166
United States,Alabama,Andalusia city,36101,5309
United States,Alabama,Anderson town,47000,10125
United States,Alabama,Anniston city,32070,3233
United States,Alabama,Arab city,43884,2015
United States,Alabama,Ardmore town,38000,6611
United States,Alabama,Argo town,61369,23312
United States,Alabama,Ariton town,25909,9792
United States,Alabama,Arley town,31932,9151
United States,Alabama,Ashford town,43527,3526
United States,Alabama,Ashland town,27264,16685
United States,Alabama,Ashville city,50776,4495
United States,Alabama,Athens city,47741,4423
United States,Alabama,Atmore city,28443,5504
United States,Alabama,Attalla city,40375,4669
United States,Alabama,Auburn city,42600,2417
United States,Alabama,Autaugaville town,25833,5812
United States,Alabama,Avon town,36250,9358
United States,Alabama,Axis CDP,49915,19059
United States,Alabama,Babbie town,34375,6375
United States,Alabama,Baileyton town,32989,4226
United States,Alabama,Bakerhill town,30536,14431
United States,Alabama,Ballplay CDP,40703,13334
United States,Alabama,Banks town,38333,12912
United States,Alabama,Bay Minette city,31310,5042
United States,Alabama,Bayou La Batre city,40000,14755
United States,Alabama,Bear Creek town,33029,5254
United States,Alabama,Beatrice town,17679,10724
United States,Alabama,Beaverton town,36250,14760
United States,Alabama,Belgreen CDP,29500,13514
United States,Alabama,Belk town,24583,11822
United States,Alabama,Bellamy CDP,17340,11899
United States,Alabama,Belle Fontaine CDP,49886,9194
United States,Alabama,Benton town,62188,61214
United States,Alabama,Berry town,25938,7593
United States,Alabama,Bessemer city,31308,1873
United States,Alabama,Billingsley town,31250,11546
United States,Alabama,Birmingham city,33770,993
United States,Alabama,Black town,30938,21172
United States,Alabama,Blountsville town,27241,5809
United States,Alabama,Blue Ridge CDP,97619,12655
United States,Alabama,Blue Springs town,35938,18260
United States,Alabama,Boaz city,41488,5672
United States,Alabama,Boligee town,10313,6456
United States,Alabama,Bon Air town,33125,13644
United States,Alabama,Bon Secour CDP,18564,6866
United States,Alabama,Boykin CDP,15875,6254
United States,Alabama,Brantley town,24519,5301
United States,Alabama,Brantleyville CDP,44830,15363
United States,Alabama,Brent city,35284,5276
United States,Alabama,Brewton city,40342,4381
United States,Alabama,Bridgeport city,30852,6669
United States,Alabama,Brighton city,25510,4410
United States,Alabama,Brilliant town,25880,5477
United States,Alabama,Bristow Cove CDP,45714,29273
United States,Alabama,Brook Highland CDP,56094,8386
United States,Alabama,Brookside town,35417,12162
United States,Alabama,Brookwood town,57844,4569
United States,Alabama,Broomtown CDP,26389,10833
United States,Alabama,Brundidge city,24408,5827
United States,Alabama,Bucks CDP,,
United States,Alabama,Butler town,31200,7921
United States,Alabama,Calera city,64129,5696
United States,Alabama,Calvert CDP,27356,10698
United States,Alabama,Camden city,33295,12551
United States,Alabama,Camp Hill town,26458,9729
