DATE,den,fin,isl,nor,swe
2019-01-01,5.2,6.8,3.0,3.8,6.2
2019-02-01,5.2,6.8,3.1,3.8,6.7
2019-03-01,5.4,6.8,3.2,3.6,7.3
2019-04-01,5.2,6.8,3.3,3.3,6.5
2019-05-01,5.0,6.8,3.4,3.4,6.6
2019-06-01,4.6,6.8,3.4,3.6,6.5
2019-07-01,4.7,6.9,3.4,3.8,7.1
2019-08-01,4.9,6.9,3.5,3.7,7.1
2019-09-01,5.2,6.9,3.5,3.9,6.7
2019-10-01,5.2,6.9,3.5,3.8,6.7
2019-11-01,5.1,6.8,3.6,3.9,7.3
2019-12-01,4.9,6.8,3.5,3.9,6.6
2020-01-01,4.9,6.8,3.8,3.7,7.2
2020-02-01,4.9,6.9,3.9,3.5,7.6
2020-03-01,4.8,7.0,3.5,3.6,6.8
2020-04-01,4.9,7.2,3.9,4.1,7.9
2020-05-01,5.5,7.4,4.5,4.6,8.5
2020-06-01,6.0,7.6,4.5,5.2,9.2
2020-07-01,6.0,7.8,5.0,,9.2
