State,code,Density,Pop,LandArea
New Jersey,NJ,1215.1985,8936570,7354
Rhode Island,RI,1021.4313,1056160,1034
Massachusetts,MA,894.4359,6976600,7800
Connecticut,CT,735.8695,3563080,4842
Maryland,MD,626.6735,6083120,9707
Delaware,DE,504.3073,982895,1949
New York,NY,412.5218,19440500,47126
Florida,FL,410.1259,21993000,53625
Ohio,OH,287.504,11747700,40861
Pennsylvania,PA,286.5454,12820900,44743
California,CA,256.3728,39937500,155779
Illinois,IL,228.0246,12659700,55519
Hawaii,HI,219.9424,1412690,6423
Virginia,VA,218.4404,8626210,39490
North Carolina,NC,218.271,10611900,48618
Indiana,IN,188.2809,6745350,35826
Georgia,GA,186.6726,10736100,57513
Michigan,MI,177.665,10045000,56539
South Carolina,SC,173.3176,5210100,30061
Tennessee,TN,167.2749,6897580,41235
New Hampshire,NH,153.161,1371250,8953
Washington,WA,117.3273,7797100,66456
Kentucky,KY,113.9566,4499690,39486
Texas,TX,112.8204,29472300,261232
Wisconsin,WI,108.0496,5851750,54158
Louisiana,LA,107.5174,4645180,43204
Alabama,AL,96.9221,4908620,50645
Missouri,MO,89.7453,6169270,68742
West Virginia,WV,73.9691,1778070,24038
Minnesota,MN,71.5922,5700670,79627
Vermont,VT,68.1416,628061,9217
Arizona,AZ,64.9549,7378490,113594
Mississippi,MS,63.7056,2989260,46923
Arkansas,AR,58.403,3039000,52035
Oklahoma,OK,57.6546,3954820,68595
Iowa,IA,56.9284,3179850,55857
Colorado,CO,56.4012,5845530,103642
Oregon,OR,44.8086,4301090,95988
Maine,ME,43.6336,1345790,30843
Utah,UT,39.943,3282120,82170
Kansas,KS,35.5968,2910360,81759
Nevada,NV,28.5993,3139660,109781
Nebraska,NE,25.4161,1952570,76824
Idaho,ID,22.097,1826160,82643
New Mexico,NM,17.285,2096640,121298
South Dakota,SD,11.9116,903027,75811
North Dakota,ND,11.0393,761723,69001
Montana,MT,7.4668,1086760,145546
Wyoming,WY,5.84,567025,97093
Alaska,AK,1.2863,734002,570641
