wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date,lead_3wk,lag_1wk,lead_3wk_deaths,lag_1wk_pos,wk_cases,casepos_case,casepos_pos,case_case,lead_3wk_deaths_proj,curr_death_pc
2020-03-17,Alabama,0,22,71060,0,0,AL,220,4.48191141298369e-5,NA,NA,NA,NA,2021-05-04,2020-04-07,2020-03-10,4,NA,NA,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-03-24,Alabama,0,100,71060,0,0,AL,6186,0.0012602320000325957,NA,NA,NA,NA,2021-05-04,2020-04-14,2020-03-17,5,0.1,78,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-03-31,Alabama,8,286,71060,1.125809175344779e-4,1.125809175344779e-4,AL,35384,0.0072085433380461314,NA,NA,NA,NA,2021-05-04,2020-04-21,2020-03-24,20,0.012609117361784675,186,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-04-07,Alabama,12,471,71060,1.6887137630171685e-4,1.6887137630171685e-4,AL,79741,0.016245095362851472,NA,NA,NA,NA,2021-05-04,2020-04-28,2020-03-31,9,0.005256613158489713,185,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-04-14,Alabama,17,628,71060,2.3923444976076556e-4,2.3923444976076556e-4,AL,166106,0.03383965350750313,NA,NA,NA,NA,2021-05-04,2020-05-05,2020-04-07,25,0.00232001103572817,157,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-04-21,Alabama,37,720,71060,5.206867435969603e-4,5.206867435969603e-4,AL,290992,0.05928183481304318,NA,NA,NA,NA,2021-05-04,2020-05-12,2020-04-14,24,9.45179584120983e-4,92,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-04-28,Alabama,46,992,71060,6.47340275823248e-4,6.47340275823248e-4,AL,448815,0.09143404867355795,NA,NA,NA,NA,2021-05-04,2020-05-19,2020-04-21,8,3.1615989443008744e-4,272,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-05-05,Alabama,71,1259,71060,9.991556431184915e-4,9.991556431184915e-4,AL,654170,0.13326963586507,NA,NA,NA,NA,2021-05-04,2020-05-26,2020-04-28,9,6.060403507012912e-4,267,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-05-12,Alabama,95,1514,71060,0.001336898395721925,0.001336898395721925,AL,860380,0.17527940643195034,NA,NA,NA,NA,2021-05-04,2020-06-02,2020-05-05,6,4.081507864928077e-4,255,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-05-19,Alabama,103,1783,71060,0.001449479313256403,0.001449479313256403,AL,1040186,0.21191006841026602,NA,NA,NA,NA,2021-05-04,2020-06-09,2020-05-12,8,2.96380669006718e-4,269,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-05-26,Alabama,112,2060,71060,0.0015761328454826906,0.0015761328454826906,AL,1265506,0.2578129902090608,NA,NA,NA,NA,2021-05-04,2020-06-16,2020-05-19,3,2.5860759518009276e-4,277,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-06-02,Alabama,118,2282,71060,0.001660568533633549,0.001660568533633549,AL,1485703,0.3026722378183685,NA,NA,NA,NA,2021-05-04,2020-06-23,2020-05-26,3,2.1888477810456846e-4,222,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-06-09,Alabama,126,2548,71060,0.001773149451168027,0.001773149451168027,AL,1736917,0.35385036935024505,NA,NA,NA,NA,2021-05-04,2020-06-30,2020-06-02,8,1.494242119723794e-4,266,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-06-16,Alabama,129,2964,71060,0.0018153672952434562,0.0018153672952434562,AL,2034434,0.41446149834373003,NA,NA,NA,NA,2021-05-04,2020-07-07,2020-06-09,15,1.5314491135730722e-4,416,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-06-23,Alabama,132,3412,71060,0.0018575851393188853,0.0018575851393188853,AL,2349008,0.4785475347449996,NA,NA,NA,NA,2021-05-04,2020-07-14,2020-06-16,19,2.0447947684712307e-4,448,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-06-30,Alabama,140,4390,71060,0.0019701660568533634,0.0019701660568533634,AL,2673953,0.5447463849309989,NA,NA,NA,NA,2021-05-04,2020-07-21,2020-06-23,14,1.9071880555536635e-4,978,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-07-07,Alabama,155,5635,71060,0.0021812552772305094,0.0021812552772305094,AL,3069184,0.625264127188497,NA,NA,NA,NA,2021-05-04,2020-07-28,2020-06-30,15,3.657506321165705e-4,1245,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-07-14,Alabama,174,7455,71060,0.0024486349563748945,0.0024486349563748945,AL,3486404,0.7102615399032722,NA,NA,NA,NA,2021-05-04,2020-08-04,2020-07-07,25,4.056452790057553e-4,1820,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-07-21,Alabama,188,9226,71060,0.002645651562060231,0.002645651562060231,AL,4002055,0.8153116354494746,NA,NA,NA,NA,2021-05-04,2020-08-11,2020-07-14,18,5.220278544884644e-4,1771,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-07-28,Alabama,203,10713,71060,0.002856740782437377,0.002856740782437377,AL,4460296,0.90866597944025,NA,NA,NA,NA,2021-05-04,2020-08-18,2020-07-21,18,4.4252265398651445e-4,1487,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-08-04,Alabama,228,12241,71060,0.0032085561497326204,0.0032085561497326204,AL,4859973,0.9900894752496628,NA,NA,NA,NA,2021-05-04,2020-08-25,2020-07-28,21,3.333859456861159e-4,1528,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-08-11,Alabama,246,13539,71060,0.0034618632141851955,0.0034618632141851955,AL,5268613,1.0733389425133744,NA,NA,NA,NA,2021-05-04,2020-09-01,2020-08-04,14,3.144050388757304e-4,1298,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-08-18,Alabama,264,14462,71060,0.0037151702786377707,0.0037151702786377707,AL,5798249,1.181238107655512,NA,NA,NA,NA,2021-05-04,2020-09-08,2020-08-11,6,2.46364650430768e-4,923,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-08-25,Alabama,285,15360,71060,0.004010695187165776,0.004010695187165776,AL,6329650,1.2894968443269188,NA,NA,NA,NA,2021-05-04,2020-09-15,2020-08-18,15,1.5918598873556483e-4,898,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-09-01,Alabama,299,16598,71060,0.004207711792851111,0.004207711792851111,AL,6706853,1.3663418639047227,NA,NA,NA,NA,2021-05-04,2020-09-22,2020-08-25,22,1.4187198344300236e-4,1238,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-09-08,Alabama,305,17376,71060,0.0042921474810019705,0.0042921474810019705,AL,6765283,1.3782454131711153,NA,NA,NA,NA,2021-05-04,2020-09-29,2020-09-01,9,1.8458731688319395e-4,778,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-09-15,Alabama,320,18339,71060,0.004503236701379116,0.004503236701379116,AL,7026105,1.4313809176509895,NA,NA,NA,NA,2021-05-04,2020-10-06,2020-09-08,3,1.1499888474731951e-4,963,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-09-22,Alabama,342,19130,71060,0.004812834224598931,0.004812834224598931,AL,7324979,1.492268499089357,NA,NA,NA,NA,2021-05-04,2020-10-13,2020-09-15,8,1.3706029158402843e-4,791,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-09-29,Alabama,351,20082,71060,0.004939487756825218,0.004939487756825218,AL,7698907,1.5684463250363645,NA,NA,NA,NA,2021-05-04,2020-10-20,2020-09-22,10,1.0798665770918934e-4,952,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-10-06,Alabama,354,20817,71060,0.004981705600900647,0.004981705600900647,AL,8075295,1.645125310168642,NA,NA,NA,NA,2021-05-04,2020-10-27,2020-09-29,5,1.2365391606886537e-4,735,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-10-13,Alabama,362,21647,71060,0.0050942865184351255,0.0050942865184351255,AL,8412124,1.7137452074106367,NA,NA,NA,NA,2021-05-04,2020-11-03,2020-10-06,11,9.101834669817016e-5,830,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-10-20,Alabama,372,22636,71060,0.005235012665353223,0.005235012665353223,AL,8729843,1.778471953420717,NA,NA,NA,NA,2021-05-04,2020-11-10,2020-10-13,21,9.866711427458748e-5,989,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-10-27,Alabama,377,23658,71060,0.005305375738812271,0.005305375738812271,AL,9063106,1.8463653735673162,NA,NA,NA,NA,2021-05-04,2020-11-17,2020-10-20,67,1.1328955171358751e-4,1022,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-11-03,Alabama,388,24866,71060,0.0054601745004221785,0.0054601745004221785,AL,9401732,1.9153513614824533,NA,NA,NA,NA,2021-05-04,2020-11-24,2020-10-27,15,1.1276487332267768e-4,1208,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-11-10,Alabama,409,26232,71060,0.005755699408950183,0.005755699408950183,AL,9750194,1.9863411712456862,NA,NA,NA,NA,2021-05-04,2020-12-01,2020-11-03,10,1.2848696389133408e-4,1366,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-11-17,Alabama,476,28420,71060,0.0066985645933014355,0.0066985645933014355,AL,10136765,2.065094670192437,NA,NA,NA,NA,2021-05-04,2020-12-08,2020-11-10,28,1.400997764762424e-4,2188,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-11-24,Alabama,491,31043,71060,0.006909653813678581,0.006909653813678581,AL,10608662,2.161231058831199,NA,NA,NA,NA,2021-05-04,2020-12-15,2020-11-17,36,2.1584795543745959e-4,2623,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-12-01,Alabama,501,33526,71060,0.0070503799605966784,0.0070503799605966784,AL,11016046,2.2442246496978786,NA,NA,NA,NA,2021-05-04,2020-12-22,2020-11-24,51,2.4725078431191415e-4,2483,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-12-08,Alabama,529,37488,71060,0.007444413171967351,0.007444413171967351,AL,11443704,2.3313485256548683,NA,NA,NA,NA,2021-05-04,2020-12-29,2020-12-01,73,2.2539847782044483e-4,3962,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-12-15,Alabama,565,41718,71060,0.007951027300872502,0.007951027300872502,AL,11902697,2.4248560695266694,NA,NA,NA,NA,2021-05-04,2021-01-05,2020-12-08,36,3.4621657463352777e-4,4230,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-12-22,Alabama,616,46794,71060,0.0086687306501548,0.0086687306501548,AL,12409189,2.5280402638623483,5181,5181,NA,NA,2021-05-04,2021-01-12,2020-12-15,117,3.553816416565086e-4,5076,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2020-12-29,Alabama,689,50686,71060,0.00969603152265691,0.00969603152265691,AL,12859140,2.619705742143413,20354,20354,15173,15173,2021-05-04,2021-01-19,2020-12-22,79,4.0905171159855814e-4,3892,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-01-05,Alabama,725,55344,71060,0.010202645651562061,0.010202645651562061,AL,13227271,2.694702584433099,42810,20354,22456,0,2021-05-04,2021-01-26,2020-12-29,128,3.0266409728799907e-4,4658,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-01-12,Alabama,842,59867,71060,0.0118491415705038,0.0118491415705038,AL,13674798,2.7858742375657517,87138,20354,44328,0,2021-05-04,2021-02-02,2021-01-05,115,3.521512487345273e-4,4523,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-01-19,Alabama,921,62752,71060,0.012960878131156768,0.012960878131156768,AL,14127543,2.8781089185962654,148685,20354,61547,0,2021-05-04,2021-02-09,2021-01-12,72,3.307544286943032e-4,2885,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-01-26,Alabama,1049,65189,71060,0.014762172811708416,0.014762172811708416,AL,14529236,2.9599431204697044,287002,20354,138317,0,2021-05-04,2021-02-16,2021-01-19,72,2.0421102239787908e-4,2437,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-02-02,Alabama,1164,67359,71060,0.016380523501266536,0.016380523501266536,AL,14896259,3.034714237402773,403509,20354,116507,0,2021-05-04,2021-02-23,2021-01-26,34,1.6773077400628636e-4,2170,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-02-09,Alabama,1236,68747,71060,0.017393751759076835,0.017393751759076835,AL,15198299,3.0962468066381184,556337,378514,152828,358160,2021-05-04,2021-03-02,2021-02-02,32,1.4567415886095967e-4,1388,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-02-16,Alabama,1308,69747,71060,0.018406980016887137,0.018406980016887137,AL,15554808,3.1688759773622728,641924,474065,85587,95551,2021-05-04,2021-03-09,2021-02-09,33,9.132600957515049e-5,1000,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-02-23,Alabama,1342,70332,71060,0.01888544891640867,0.01888544891640867,AL,15767061,3.2121168475050013,837784,580477,195860,106412,2021-05-04,2021-03-16,2021-02-16,18,6.428880382194368e-5,585,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-03-02,Alabama,1374,71145,71060,0.01933577258654658,0.01933577258654658,AL,15991832,3.257907925241718,1000613,637989,162829,57512,2021-05-04,2021-03-23,2021-02-23,22,3.710266612147946e-5,813,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-03-09,Alabama,1407,72170,71060,0.0198001688713763,0.0198001688713763,AL,16232414,3.3069200712216467,1168845,714775,168232,76786,2021-05-04,2021-03-30,2021-03-02,8,5.083845303027195e-5,1025,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-03-16,Alabama,1425,73622,71060,0.020053475935828877,0.020053475935828877,AL,16423965,3.3459434627247577,1334180,854302,165335,139527,2021-05-04,2021-04-06,2021-03-09,21,6.314525984859676e-5,1452,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-03-23,Alabama,1447,74132,71060,0.02036307345904869,0.02036307345904869,AL,16617455,3.385361873601949,1479271,972986,145091,118684,2021-05-04,2021-04-13,2021-03-16,11,8.840739736111226e-5,510,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-03-30,Alabama,1455,74631,71060,0.02047565437658317,0.02047565437658317,AL,16771524,3.416749310396812,1666585,1113924,187314,140938,2021-05-04,2021-04-20,2021-03-23,9,3.0690620194247554e-5,499,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-04-06,Alabama,1476,74987,71060,0.020771179285111175,0.020771179285111175,AL,16916643,3.446313424139575,1864857,1248029,198272,134105,2021-05-04,2021-04-27,2021-03-30,2,2.9752811968667845e-5,356,0.019917189262941174,61.750705746448375,0.01992709762825917,NA,NA
2021-04-13,Alabama,1487,75413,71060,0.02092597804672108,0.02092597804672108,AL,17051022,3.4736895502198175,2908059,1389598,1043202,141569,2021-05-04,2021-05-04,2021-04-06,19,2.1044364416746278e-5,426,0.019917189262941174,61.750705746448375,0.01992709762825917,19,NA
2021-04-20,Alabama,1496,75582,71060,0.021052631578947368,0.021052631578947368,AL,17219894,3.50809270222588,2297563,1483779,-610496,94181,2021-05-04,2021-05-11,2021-04-13,NA,2.49838396783489e-5,169,0.019917189262941174,61.750705746448375,0.01992709762825917,3.3675477551694524,NA
2021-04-27,Alabama,1498,75991,71060,0.021080776808330988,0.021080776808330988,AL,17377825,3.5402669181969677,2478227,1549782,180664,66003,2021-05-04,2021-05-18,2021-04-20,NA,9.814229983064937e-6,409,0.019917189262941174,61.750705746448375,0.01992709762825917,8.146736444170752,NA
2021-05-04,Alabama,1517,76225,71060,0.021348156487475373,0.021348156487475373,AL,17532419,3.5717613096960044,2627322,1603454,149095,53672,2021-05-04,2021-05-25,2021-04-27,NA,2.3535741670778707e-5,234,0.019917189262941174,61.750705746448375,0.01992709762825917,4.662075636186672,0.021348156487475373
2020-03-17,Alaska,0,2,22454,0,0,AK,921,0.001254764973392443,NA,NA,NA,NA,2021-05-04,2020-04-07,2020-03-10,3,NA,NA,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
2020-03-24,Alaska,0,17,22454,0,0,AK,5278,0.007190716101591004,NA,NA,NA,NA,2021-05-04,2020-04-14,2020-03-17,-1,0.0021715526601520088,15,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
2020-03-31,Alaska,2,63,22454,8.907098957869422e-5,8.907098957869422e-5,AK,19561,0.026649791144983257,NA,NA,NA,NA,2021-05-04,2020-04-21,2020-03-24,0,0.0028419856006062904,46,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
2020-04-07,Alaska,5,99,22454,2.2267747394673555e-4,2.2267747394673555e-4,AK,41761,0.056894940340762014,NA,NA,NA,NA,2021-05-04,2020-04-28,2020-03-31,0,0.0023516180154388834,36,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
2020-04-14,Alaska,4,139,22454,1.7814197915738843e-4,1.7814197915738843e-4,AK,53671,0.07312105416606494,NA,NA,NA,NA,2021-05-04,2020-05-05,2020-04-07,0,8.62048322597639e-4,40,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
2020-04-21,Alaska,4,163,22454,1.7814197915738843e-4,1.7814197915738843e-4,AK,67642,0.09215506224778679,NA,NA,NA,NA,2021-05-04,2020-05-12,2020-04-14,0,7.452814369026103e-4,24,0.005320695001378108,-77.01558791470242,0.005306386385824277,NA,NA
