wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2020-01-28,Massachusetts,0,0,405441,0,0,MA,15,2.1500444342516414e-6,NA,NA,NA,NA,NA
2020-01-28,Virginia,0,0,63226,0,0,VA,0,0,NA,NA,NA,NA,NA
2020-01-28,Washington,0,1,185729,0,0,WA,0,0,NA,NA,NA,NA,NA
2020-02-04,Florida,0,0,311271,0,0,FL,0,0,NA,NA,NA,NA,NA
2020-02-04,Massachusetts,0,1,405441,0,0,MA,36,5.1601066422039385e-6,NA,NA,NA,NA,NA
2020-02-04,Virginia,0,0,63226,0,0,VA,0,0,NA,NA,NA,NA,NA
2020-02-04,Washington,0,1,185729,0,0,WA,0,0,NA,NA,NA,NA,NA
2020-02-11,Florida,0,0,311271,0,0,FL,0,0,NA,NA,NA,NA,NA
2020-02-11,Massachusetts,0,1,405441,0,0,MA,75,1.0750222171258206e-5,NA,NA,NA,NA,NA
2020-02-11,New Jersey,0,0,386182,0,0,NJ,0,0,NA,NA,NA,NA,NA
2020-02-11,Virginia,0,0,63226,0,0,VA,0,0,NA,NA,NA,NA,NA
2020-02-11,Washington,0,1,185729,0,0,WA,0,0,NA,NA,NA,NA,NA
2020-02-18,Florida,0,0,311271,0,0,FL,0,0,NA,NA,NA,NA,NA
2020-02-18,Massachusetts,0,1,405441,0,0,MA,91,1.3043602901126623e-5,NA,NA,NA,NA,NA
2020-02-18,Nebraska,0,0,20362,0,0,NE,10,5.1214553127416685e-6,NA,NA,NA,NA,NA
2020-02-18,New Jersey,0,0,386182,0,0,NJ,0,0,NA,NA,NA,NA,NA
2020-02-18,Virginia,0,0,63226,0,0,VA,0,0,NA,NA,NA,NA,NA
2020-02-18,Washington,0,1,185729,0,0,WA,0,0,NA,NA,NA,NA,NA
2020-02-25,Florida,0,0,311271,0,0,FL,0,0,NA,NA,NA,NA,NA
2020-02-25,Massachusetts,0,1,405441,0,0,MA,101,1.4476965857294384e-5,NA,NA,NA,NA,NA
2020-02-25,Nebraska,0,0,20362,0,0,NE,68,3.482589612664335e-5,NA,NA,NA,NA,NA
2020-02-25,New Jersey,0,0,386182,0,0,NJ,0,0,NA,NA,NA,NA,NA
2020-02-25,Virginia,0,0,63226,0,0,VA,0,0,NA,NA,NA,NA,NA
2020-02-25,Washington,0,1,185729,0,0,WA,0,0,NA,NA,NA,NA,NA
2020-03-03,Connecticut,0,0,356528,0,0,CT,27,7.577713663459703e-6,NA,NA,NA,NA,NA
2020-03-03,Florida,0,2,311271,0,0,FL,0,0,NA,NA,NA,NA,NA
2020-03-03,Indiana,0,0,71619,0,0,IN,27,4.00275745513576e-6,NA,NA,NA,NA,NA
2020-03-03,Massachusetts,0,1,405441,0,0,MA,165,2.3650488776768055e-5,NA,NA,NA,NA,NA
2020-03-03,Michigan,0,0,114791,0,0,MI,0,0,NA,NA,NA,NA,NA
2020-03-03,Nebraska,0,0,20362,0,0,NE,175,8.96254679729792e-5,NA,NA,NA,NA,NA
2020-03-03,New Jersey,0,0,386182,0,0,NJ,0,0,NA,NA,NA,NA,NA
2020-03-03,New York,0,1,303961,0,0,NY,1,5.1439006198400246e-8,NA,NA,NA,NA,NA
